21.823261,46.806854,0.000000,3,2017-11-30-16-21-22,1512058882,2017,11,30,16,21,22
21.812536,46.791595,0.000000,3,2017-11-30-16-21-24,1512058884,2017,11,30,16,21,24
21.844711,46.776337,0.000000,3,2017-11-30-16-21-25,1512058885,2017,11,30,16,21,25
21.844711,46.753448,0.000000,3,2017-11-30-16-21-27,1512058887,2017,11,30,16,21,27
21.844711,46.745819,0.000000,3,2017-11-30-16-21-29,1512058889,2017,11,30,16,21,29
21.844711,46.722931,0.000000,3,2017-11-30-16-21-30,1512058890,2017,11,30,16,21,30
21.855436,46.722931,0.000000,3,2017-11-30-16-21-32,1512058892,2017,11,30,16,21,32
21.866161,46.707672,0.000000,3,2017-11-30-16-21-34,1512058894,2017,11,30,16,21,34
21.855436,46.700043,0.000000,3,2017-11-30-16-21-35,1512058895,2017,11,30,16,21,35
21.866161,46.677155,0.000000,3,2017-11-30-16-21-37,1512058897,2017,11,30,16,21,37
21.866161,46.661896,0.000000,3,2017-11-30-16-21-39,1512058899,2017,11,30,16,21,39
21.855436,46.631378,0.000000,3,2017-11-30-16-21-41,1512058901,2017,11,30,16,21,41
21.866161,46.631378,0.000000,3,2017-11-30-16-21-42,1512058902,2017,11,30,16,21,42
21.887611,46.608490,0.000000,3,2017-11-30-16-21-44,1512058904,2017,11,30,16,21,44
21.866161,46.616119,0.000000,3,2017-11-30-16-21-46,1512058906,2017,11,30,16,21,46
21.866161,46.608490,0.000000,3,2017-11-30-16-21-47,1512058907,2017,11,30,16,21,47
21.898338,46.585602,0.000000,3,2017-11-30-16-21-49,1512058909,2017,11,30,16,21,49
21.876886,46.585602,0.000000,3,2017-11-30-16-21-51,1512058911,2017,11,30,16,21,51
21.866161,46.562714,0.000000,3,2017-11-30-16-21-52,1512058912,2017,11,30,16,21,52
21.855436,46.562714,0.000000,3,2017-11-30-16-21-54,1512058914,2017,11,30,16,21,54
21.887611,46.539825,0.000000,3,2017-11-30-16-21-56,1512058916,2017,11,30,16,21,56
21.909063,46.539825,0.000000,3,2017-11-30-16-21-57,1512058917,2017,11,30,16,21,57
21.898338,46.509308,0.000000,3,2017-11-30-16-21-59,1512058919,2017,11,30,16,21,59
21.887611,46.509308,0.000000,3,2017-11-30-16-22-1,1512058921,2017,11,30,16,22,1
21.887611,46.471161,7.000000,3,2017-11-30-16-22-3,1512058923,2017,11,30,16,22,3
21.887611,46.486420,0.000000,3,2017-11-30-16-22-4,1512058924,2017,11,30,16,22,4
21.887611,46.471161,0.000000,3,2017-11-30-16-22-6,1512058926,2017,11,30,16,22,6
21.898338,46.425385,0.000000,3,2017-11-30-16-22-8,1512058928,2017,11,30,16,22,8
21.919788,46.433014,0.000000,3,2017-11-30-16-22-9,1512058929,2017,11,30,16,22,9
21.855436,46.387238,0.000000,3,2017-11-30-16-22-11,1512058931,2017,11,30,16,22,11
21.876886,46.371979,0.000000,3,2017-11-30-16-22-13,1512058933,2017,11,30,16,22,13
21.866161,46.379608,0.000000,3,2017-11-30-16-22-14,1512058934,2017,11,30,16,22,14
21.855436,46.356720,0.000000,3,2017-11-30-16-22-16,1512058936,2017,11,30,16,22,16
21.855436,46.326202,7.000000,3,2017-11-30-16-22-18,1512058938,2017,11,30,16,22,18
21.812536,46.303314,0.000000,3,2017-11-30-16-22-19,1512058939,2017,11,30,16,22,19
21.801811,46.288055,0.000000,3,2017-11-30-16-22-21,1512058941,2017,11,30,16,22,21
21.812536,46.280426,0.000000,3,2017-11-30-16-22-23,1512058943,2017,11,30,16,22,23
21.801811,46.280426,0.000000,3,2017-11-30-16-22-25,1512058945,2017,11,30,16,22,25
21.801811,46.265167,0.000000,3,2017-11-30-16-22-26,1512058946,2017,11,30,16,22,26
21.801811,46.257538,0.000000,3,2017-11-30-16-22-28,1512058948,2017,11,30,16,22,28
21.780361,46.242279,0.000000,3,2017-11-30-16-22-30,1512058950,2017,11,30,16,22,30
